N_LEVELS,N_PROF,salinity
0,11,35.9704475402832
0,14,32.98500061035156
0,15,33.448570251464844
0,18,34.54290008544922
0,19,35.01409912109375
0,21,32.27000045776367
0,23,34.57680130004883
0,24,36.75600051879883
0,26,33.88999938964844
0,32,36.10507583618164
0,45,34.61600112915039
0,47,35.68339920043945
0,59,39.07292175292969
0,69,34.72700119018555
0,71,39.22999954223633
0,72,35.15682601928711
0,73,34.06679916381836
0,78,35.21580123901367
0,90,32.41539001464844
0,101,34.8849983215332
0,104,34.32149887084961
0,105,41.88999938964844
0,106,34.51639938354492
0,107,35.22010040283203
0,108,18.610000610351562
0,110,33.5620002746582
0,112,35.758399963378906
0,113,37.88800048828125
0,128,33.74894714355469
0,129,36.08883285522461
0,132,-10000000000.0
0,138,33.8140983581543
0,144,34.7418327331543
0,145,36.10289001464844
0,155,36.98500061035156
0,156,34.99959945678711
0,160,35.490501403808594
0,165,36.17499923706055
0,167,35.207000732421875
0,176,35.97914123535156
0,184,34.051998138427734
0,187,35.36000061035156
0,206,-10000000000.0
0,212,33.810001373291016
0,235,-10000000000.0
0,239,-10000000000.0
0,240,33.7942008972168
0,241,33.81700134277344
0,242,37.90800094604492
0,250,39.21327590942383
0,260,-10000000000.0
0,262,35.8302001953125
0,263,33.30805587768555
0,264,36.1328010559082
0,282,33.67400360107422
0,284,-10000000000.0
0,285,36.05903244018555
0,294,33.987998962402344
0,295,35.76400375366211
0,296,34.40340042114258
0,299,-10000000000.0
0,301,34.71900177001953
0,320,35.152000427246094
0,321,33.8650016784668
0,323,34.07099914550781
0,325,36.537845611572266
0,328,35.22397994995117
0,337,35.19652557373047
0,345,34.23699951171875
0,346,34.130699157714844
0,347,38.137001037597656
0,349,-10000000000.0
0,350,35.544898986816406
0,355,32.220001220703125
0,358,34.619998931884766
0,359,34.279998779296875
0,376,33.88264846801758
0,378,34.06399917602539
0,381,34.29679870605469
0,383,34.3129997253418
0,392,34.01850128173828
0,393,35.60430145263672
0,409,33.71168899536133
0,416,34.0265998840332
0,417,32.26960754394531
0,419,38.95899963378906
0,422,38.19200134277344
0,423,34.15449905395508
0,425,35.578800201416016
0,430,35.96796417236328
0,438,35.20722198486328
0,441,33.95000076293945
0,442,33.56700134277344
0,444,32.9010009765625
0,445,34.21699905395508
0,448,34.845001220703125
0,462,34.817222595214844
0,479,34.83700180053711
0,480,34.33599853515625
0,482,33.925086975097656
0,485,35.97700119018555
0,488,34.0161018371582
0,491,34.37300109863281
0,498,32.27000045776367
0,506,33.99599838256836
0,507,35.027000427246094
0,508,34.0629997253418
0,512,35.6091423034668
0,513,33.48400115966797
0,516,-10000000000.0
0,517,35.400001525878906
0,527,32.369998931884766
0,532,37.31399917602539
0,535,37.05583190917969
0,536,36.58000183105469
0,537,37.061832427978516
0,538,37.56800079345703
0,540,38.981998443603516
0,542,34.448299407958984
0,550,32.2599983215332
0,557,36.070228576660156
0,566,36.33100128173828
